
665.81,293.35,679.12,140.66,351.59,591.62,36.53,58.70,72.41,51.94,170.49,61.27,719.33,231.92,216.78,120.17,231.62,482.92,normalaa
586.73,207.98,414.81,102.05,228.73,451.83,78.86,126.72,115.76,88.71,292.65,87.96,1352.62,380.64,323.42,184.03,462.37,1022.37,normalaa
434.43,146.22,275.60,91.01,267.36,425.71,27.83,46.08,68.60,59.29,230.90,74.12,622.96,216.32,246.50,130.25,292.12,699.64,normalaa
429.55,122.61,185.30,59.76,93.50,124.96,23.77,30.17,41.92,45.50,338.30,86.97,707.86,412.88,415.20,256.30,1040.55,2627.77,normalaa
532.06,177.10,299.11,100.21,177.73,324.75,53.92,74.61,50.50,48.72,116.79,51.39,944.20,219.44,239.50,144.54,261.00,697.28,normalaa
1294.52,434.12,953.78,252.82,663.00,1249.59,70.74,101.49,82.89,60.67,242.31,76.10,1881.51,492.96,396.84,241.18,539.29,1208.47,normalaa
1154.91,310.60,550.26,138.82,247.27,482.89,28.99,49.92,66.70,57.91,269.83,84.99,1334.27,417.04,382.86,221.01,586.82,1380.43,normalaaa
258.71,101.72,199.41,51.48,91.95,148.26,26.09,35.66,46.69,50.10,218.15,63.25,735.40,314.08,313.80,183.19,511.63,1260.29,normalaaa
945.02,227.96,356.49,81.82,145.27,286.63,27.25,36.21,48.12,46.88,275.87,85.98,453.17,196.56,255.24,144.54,401.01,952.88,normalaaa
200.13,77.20,165.55,56.08,113.59,154.61,37.11,56.50,94.80,82.28,383.27,95.86,922.40,388.96,370.62,197.48,650.78,1465.24,normalaaa
579.90,151.67,181.54,52.40,90.41,132.02,16.81,19.75,29.54,30.80,203.38,66.21,242.07,227.76,223.77,140.34,445.09,1102.46,normalaaa
1437.05,303.34,328.27,93.77,146.82,261.21,19.13,25.78,37.16,39.53,319.50,91.91,827.18,411.84,390.72,219.33,738.93,1760.88,normalaaa
644.33,200.71,350.85,135.14,268.91,427.83,54.50,98.74,126.24,86.41,344.34,101.79,2256.67,487.76,459.78,252.94,628.31,1488.79,normalaaa
892.30,288.81,769.42,192.14,436.59,711.63,41.75,71.86,97.66,80.44,594.70,163.07,922.40,245.44,354.01,188.23,545.34,1260.29,normalaaa
1062.17,281.54,830.56,153.53,469.05,700.34,37.69,62.54,97.66,73.54,480.60,139.35,702.13,171.60,285.83,143.70,388.91,871.60,normalaaa
466.65,128.96,211.64,73.55,118.23,191.32,25.51,34.56,34.30,43.21,381.26,104.76,1318.21,362.96,543.69,340.33,1422.55,3578.29,normalaaa
920.61,294.26,595.41,202.25,405.68,672.80,136.84,218.88,141.49,101.58,659.14,188.76,1372.13,254.80,406.46,219.33,555.71,1254.40,normalaaa
752.69,242.49,518.28,164.56,348.50,538.67,45.81,87.22,131.01,88.71,753.11,207.54,966.00,325.52,357.51,202.52,643.86,1570.07,normalaaa
342.67,113.53,181.54,78.14,108.95,134.84,23.77,36.21,38.11,39.53,657.80,169.98,753.75,283.92,378.48,225.21,988.70,2477.01,normalaaa
848.37,227.05,776.00,125.95,294.41,672.10,40.59,68.02,98.61,70.32,520.87,153.18,552.98,212.16,295.45,154.62,492.62,1170.78,normalaaa
619.92,292.44,624.57,300.62,826.05,1552.46,73.64,120.14,97.18,80.44,1058.52,283.64,1837.92,526.24,569.91,331.09,1115.74,2853.92,normalaaa
782.96,152.58,303.82,66.19,146.82,297.93,27.83,35.66,52.88,57.45,364.47,100.80,242.07,225.68,270.10,151.26,474.47,1135.44,normalaaa
1255.47,272.46,877.59,137.90,348.50,737.05,31.31,47.18,78.13,75.84,508.79,140.34,554.13,298.48,319.92,167.23,503.86,1169.60,normalaaa
590.64,208.89,364.96,129.63,213.27,351.58,50.44,81.19,69.08,51.48,961.19,264.86,1953.79,636.48,587.39,317.65,1030.18,2401.62,normalaaa
892.30,332.40,585.06,247.30,513.86,986.97,68.42,136.59,154.35,113.07,404.08,137.37,1699.10,397.28,415.20,220.17,467.56,1069.48,normalaa
265.54,99.90,182.48,54.24,89.64,142.61,20.87,30.72,47.16,47.34,269.83,76.10,361.39,272.48,302.44,170.59,516.82,1227.31,normalaa
149.37,87.19,236.09,66.19,160.73,340.99,41.17,63.63,55.26,71.24,181.90,53.37,1603.88,474.24,358.38,210.92,430.40,1028.26,normalaa
202.09,122.61,213.52,207.77,372.46,387.59,80.60,141.53,200.56,122.26,408.78,126.50,975.17,293.28,251.74,123.53,338.79,683.15,normalaaa
109.34,66.30,134.51,62.52,119.00,137.67,52.76,89.97,161.97,114.45,310.78,87.96,1658.94,352.56,296.32,148.74,386.32,851.58,normalaaa
271.40,94.45,158.96,79.98,166.91,225.21,54.50,91.61,142.44,108.02,402.06,104.76,1325.09,367.12,348.77,178.15,456.32,1023.55,normalaaa
2285.42,559.45,1109.92,417.38,1116.59,2161.02,387.32,480.00,254.87,162.25,480.60,152.20,2530.86,510.64,439.67,243.70,521.14,1109.53,normalaa
1314.04,493.15,963.19,518.51,1353.82,2134.90,191.92,265.51,208.66,148.92,771.24,214.46,2937.00,625.04,528.83,279.83,583.37,1189.62,normalaa
