
413.93,257.93,546.50,165.48,341.55,520.31,692.89,719.72,279.17,155.36,178.55,68.19,1514.39,229.84,150.35,81.51,171.99,341.57,2
1153.94,408.69,759.07,338.32,1073.32,2065.71,530.54,673.10,370.16,206.84,539.66,169.00,4466.30,975.52,627.60,340.33,673.25,1431.08,2
489.10,207.98,412.93,140.66,356.23,644.56,120.60,217.23,176.74,119.51,263.79,86.97,1973.29,516.88,335.65,191.60,404.47,989.39,2
485.20,190.72,425.16,100.21,255.00,561.26,85.81,157.44,147.21,107.10,281.24,87.96,1583.22,422.24,324.29,174.79,387.18,885.74,2
1436.07,528.57,1056.31,398.07,1148.27,1986.64,619.83,655.54,312.99,129.62,234.26,93.89,2244.05,458.64,228.14,134.45,267.05,528.85,2
403.19,156.21,303.82,124.11,370.14,757.52,328.76,363.70,187.70,121.80,238.28,77.09,2927.82,668.72,400.34,236.13,478.79,1062.42,2
381.72,143.50,267.13,102.97,188.55,244.98,69.58,107.52,146.25,89.63,234.26,81.04,918.96,218.40,208.91,101.68,204.83,464.07,3
234.30,89.00,152.38,63.43,110.50,142.61,60.88,93.81,134.82,113.07,298.69,83.02,1392.78,331.76,320.79,153.78,361.26,824.49,3
269.45,111.71,225.75,52.40,111.27,206.15,35.37,57.60,90.99,73.54,154.38,51.39,759.49,302.64,190.55,105.88,235.08,557.12,3
317.28,158.94,321.69,135.14,411.09,764.58,464.44,453.12,171.98,111.69,150.35,57.32,1353.77,277.68,170.45,99.16,186.68,391.04,2
223.56,98.99,184.36,73.55,147.59,252.04,161.19,210.10,147.68,105.26,172.50,57.32,1836.77,507.52,270.97,170.59,347.43,842.16,2
229.42,97.18,171.19,68.95,115.14,154.61,75.96,122.88,147.68,104.80,218.15,70.17,1401.96,506.48,284.96,167.23,399.28,1024.72,2
488.13,180.73,378.13,109.40,265.82,447.59,177.43,224.91,197.23,117.67,271.17,85.98,1914.78,495.04,319.05,178.15,386.32,908.12,3
631.64,272.46,533.33,193.98,466.73,682.69,247.58,340.66,194.37,110.77,239.63,84.00,1443.26,252.72,249.12,121.85,241.13,494.69,3
628.71,225.23,422.33,132.38,350.05,698.22,105.53,176.64,145.78,97.44,238.28,76.10,1840.21,463.84,333.03,178.99,374.22,842.16,3
770.27,255.20,494.76,168.24,346.18,549.26,165.83,230.95,173.88,116.75,389.31,121.56,1742.69,404.56,389.85,210.08,439.04,1063.59,2
559.40,204.35,372.48,138.82,343.09,672.80,200.62,233.14,131.96,97.44,276.54,87.96,2732.78,792.48,520.09,323.53,755.35,1998.80,2
1458.53,494.97,918.98,307.98,920.32,1901.22,436.03,476.16,234.39,120.89,255.74,95.86,2657.06,672.88,395.97,241.18,483.11,1090.68,2
456.89,197.08,388.47,151.69,510.00,1087.92,566.49,580.39,262.02,143.41,226.87,77.09,2875.04,585.52,289.33,166.39,350.02,706.71,2
505.70,233.41,483.47,166.40,433.50,712.34,310.78,415.82,281.07,125.48,222.85,82.03,1905.61,494.00,203.67,116.81,250.63,538.27,2
126.91,70.84,145.79,54.24,105.09,153.90,66.10,99.29,166.74,113.07,248.35,76.10,1701.39,482.56,262.23,134.45,316.31,717.31,2
565.25,202.53,378.13,133.30,278.96,466.66,164.67,209.55,119.57,96.98,218.15,73.13,1212.66,265.20,249.99,134.45,260.14,593.63,3
610.16,237.04,455.26,182.95,499.96,1015.21,431.39,462.44,198.66,142.49,226.87,82.03,1884.95,490.88,332.16,196.64,335.33,780.91,3
326.07,134.41,236.09,114.92,203.23,289.45,186.12,277.03,187.22,128.24,265.80,88.95,1845.95,371.28,291.07,159.66,322.36,732.62,3
618.95,253.39,462.78,174.67,389.46,661.51,171.63,256.73,269.16,146.17,275.87,89.93,2710.98,843.44,312.05,170.59,403.60,895.16,3
854.22,374.18,705.46,306.14,695.46,1146.52,386.74,576.00,555.95,215.11,540.34,177.89,4459.42,1404.00,457.15,275.63,676.71,1656.05,3
460.79,199.80,359.31,133.30,279.73,461.71,169.31,257.28,259.63,142.49,255.74,83.02,3262.82,1037.92,350.51,203.36,472.74,1110.71,3
500.82,219.78,428.92,214.21,535.50,944.61,661.00,675.84,278.69,176.04,259.09,97.84,1990.50,383.76,291.95,160.50,273.97,578.32,2
413.93,164.38,283.12,136.06,255.77,379.82,168.73,248.50,189.60,136.05,351.05,111.68,2426.46,456.56,395.09,212.60,415.70,1005.88,2
569.16,225.23,427.04,181.11,338.46,443.36,94.51,155.25,176.27,109.39,542.35,158.12,1401.96,254.80,332.16,151.26,331.87,701.99,2
