410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,label
1103.17,301.52,538.97,180.19,337.68,631.86,53.34,73.51,48.59,63.43,522.21,141.32,1784,478.4,674.8,394.96,1139.94,2601.86,normala
591.61,294.26,666.89,261.09,877.82,1857.45,346.73,365.9,162.45,133.76,361.12,110.69,2643.3,614.64,537.57,314.28,636.09,1391.03,normalaa
411.98,156.21,240.8,91.01,150.68,161.67,61.46,113.01,139.11,71.7,175.86,63.25,407.28,157.04,149.47,87.39,185.81,363.95,normalaaa
